title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Człowiek który wymyślił Trzecią Rzeszę,Stan Lauryssens,2000-01-01,207,polski,Wydawnictwo Dolnośląskie,"biografia, autobiografia, pamiętnik",papier,8,2,"Dzieje niemieckiego uczonego Arthura Moellera van den Brucka człowieka który wymyślił Trzecią RzeszęKsiążka powstała na podstawie wywiadów z - żyjącymi jeszcze w 1970 r. - wybitnymi osobistościami związanymi z Hitlerem, jak sir Oswald Mosley, Otto Skorzeny, Albert Speer, a przede wszystkim Otto Strasser, Otto Gunsche i dr Werner Naumann. Dotyczy ona dziejów Arthura Moellera van den Brucka, niemieckiego myśliciela, pisarza i wybitnego tłumacza, konserwatywnego nacjonalisty.","7,1",8370238130,https://lubimyczytac.pl/ksiazka/115532/czlowiek-ktory-wymyslil-trzecia-rzesze
Dzienniki 1945-1954,Zofia Nałkowska,2000-01-01,,polski,Czytelnik,"biografia, autobiografia, pamiętnik",papier,19,2,Ta książka nie posiada jeszcze opisu.,"6,9",8307027233,https://lubimyczytac.pl/ksiazka/104517/dzienniki-1945-1954
Wspomnienia,Konrad Adenauer,2000-01-01,269,polski,ABC Future,"biografia, autobiografia, pamiętnik",papier,16,3,"""Wspomnienia"" obejmują lata 1945 - 1963. Książka napisana przez jednego z największych polityków europejskich, kanclerza Niemiec Konrada Adenauera.","5,5",83-86788-43-7,https://lubimyczytac.pl/ksiazka/58088/wspomnienia
Uśmiech w kapeluszu,Hanka Bielicka,2000-01-01,123,polski,Akapit Press,"biografia, autobiografia, pamiętnik",papier,59,4,"""Uśmiech w kapeluszu"" jest opowieścią Hanki Bielickiej o Hance Bielickiej, o jej życiu dla sceny, ale także o życiu prywatnym artystki...","6,7",8387463469,https://lubimyczytac.pl/ksiazka/67610/usmiech-w-kapeluszu
DROGAMI MIŁOSIERDZIA,Jerzy Krasicki,2000-01-01,298,polski,Wydawnictwo Księży Werbistów VERBINUM,"biografia, autobiografia, pamiętnik",papier,1,0,"Ojciec Marian Żelazek SVD wycinał po kawałku ciało ze stopy trędowatej. Było to straszne, odrażające. Ona, oczywiście, nic nie czuła, jak to w trądzie. Lecz widziała postępujący rozkład swego ciała. Była bardzo smutna i ufna. Płakała łzami, które nie zostały spowodowane cierpieniem fizycznym, lecz dziwnymi, ciepłymi łzami stęsknionej starszej pani. Wtedy ojciec Marian wytłumaczył mi, na czym polega cała sztuka bycia misjonarzem w innej kulturze, w innym widzeniu rzeczywistości:- Zobacz, ona nie płacze z powodu tych ran. Ona płacze z innego powodu. Jej serce pęka z tęsknoty. Gdy rozpoznała u siebie trąd, uciekła z domu pod osłoną nocy, aby uratować swoich bliskich przed wypędzeniem z wioski. Niepojęte! Jej rozpacz dotyczyła tego, że była bezsilna wobec własnej tęsknoty za rodziną. I nic nie mogła zrobić. Ojciec Marian dał jej wszystko, co mógł: dom, przywrócił jej godność człowieka, był dla niej ojcem. Bo to jest całe sedno jego pracy misyjnej – on jest dobrym ojcem w Puri.","6,0",8371921063,https://lubimyczytac.pl/ksiazka/269585/drogami-milosierdzia
Berlioz,Robert Clarson-Leach,2000-01-01,152,polski,Polskie Wydawnictwo Muzyczne,"biografia, autobiografia, pamiętnik",papier,0,0,"Niezwykle barwna i kontrowersyjna osobowość Berlioza, jego życie, poglądy i twórczość przedstawione są w najnowszej monografii R.Clarsona- Leacha. Autor ukazuje czytelnikowi obraz egzaltowanego artysty, borykającego się z opozycją rodziny uwikłanego w perypetie miłosne, cierpiącego na brak akceptacji ze strony współczesnych i odnoszącego nagłe triumfy artystyczne. Berlioz przeszedł do historii muzyki jako twórca symfonii romantycznej i nowej instrumentacji, czeka jednak wciąż na odkrycie jako twórca muzyki dramatycznej; rzecznik nowej koncepcji brzmieniowej, jako kompozytor i pisarz, który swą twórczością nie tylko odzwierciedlał idee swej epoki, lecz także wyczuwał rytm przyszłości.","0,0",8322406606,https://lubimyczytac.pl/ksiazka/223703/berlioz
Stało się,Borys Tylewicz,2000-01-01,298,polski,Murev,"biografia, autobiografia, pamiętnik",papier,7,0,Ta książka nie posiada jeszcze opisu.,"7,1",8390122014,https://lubimyczytac.pl/ksiazka/77550/stalo-sie
The Curves of Time. The memoirs of Oscar Niemeyer,Oscar Niemeyer,2000-01-01,192,angielski,Phaidon,"biografia, autobiografia, pamiętnik",papier,1,0,"In this first ever English-language edition of Oscar Niemeyer's memoirs, the architect reveals how his many passions - among them his large family, many friends, the sensuous landscape of Brazil, women, Communism, art and literature - have all influenced his life and in turn inspired his architecture.Born in Rio de Janeiro, Niemeyer graduated from the National School of Fine Arts in 1934. As a student he worked in the office of Lucio Costa, and on graduation he began collaborating with Le Corbusier on a new Ministry of Education and Health Building in Rio. Yet, in contrast to the International Style, Niemeyer's curvilinear forms reflected Brazil's lush, undulating landscape and the emotive style of its music and dance.Here Niemeyer recounts his life in an informal, fluid narrative that moves from his childhood in Rio, through to friendships with intellectuals and politicians such as Jean-Paul Sartre and Fidel Castro, to tales of adventurous road trips. The book includes 40 specially-made sketches by Niemeyer, a chronology of his notes and an index.","8,0",9780714848570,https://lubimyczytac.pl/ksiazka/193096/the-curves-of-time-the-memoirs-of-oscar-niemeyer
W kręgu Giedroycia,Krzysztof Pomian,2000-01-01,220,polski,Czytelnik,"biografia, autobiografia, pamiętnik",papier,1,1,"Portrety osób żyjących, rozbiory dzieł literackich czy malarskich i wspomnienia pośmiertne spotykają się tu z zarysem historii Instytutu Literackiego o charakterze akademickim..","6,0",8307027918,https://lubimyczytac.pl/ksiazka/260846/w-kregu-giedroycia
W szkole Dmowskiego : szkice i wspomnienia,Tadeusz Bielecki,2000-01-01,277,polski,Exter,"biografia, autobiografia, pamiętnik",papier,5,0,"Pierwsze krajowe wydanie wspomnień najwybitniejszego od śmierci Romana Dmowskiego przywódcy ruchu narodowego, a przez wiele lat jego osobistego sekretarza. Nie są to jednak tylko wspomnienia, to także próba przybliżenia wydarzeń z życia tego największego polityka polskiego XX wieku, które zaważyły na losach Polski. Przez strony książki przewijają się wybitni polscy pisarze, wielcy politycy zachodnich mocarstw i odradzającej się Polski, widzimy Dmowskiego w oczach dziennikarzy i współpracowników. Bielecki przybliża nieco tego polityka i człowieka, który tyle namiętności budził i budzi zarówno wśród politycznych przeciwników, jak i osób deklarujących się jego politycznymi spadkobiercami.","7,6",838602951X,https://lubimyczytac.pl/ksiazka/92460/w-szkole-dmowskiego-szkice-i-wspomnienia
Pozwolenie na zabijanie,Peter Mason,2000-01-01,460,polski,Magnum,"biografia, autobiografia, pamiętnik",papier,4,1,"Peter Mason w czasie II wojny światowej należał do słynnej brytyjskiej organizacji SAS. Po wojnie podjął pracę w wywiadzie brytyjskim jako oficer do zadań specjalnych. Inwigilował także aktywną komórkę IRA. Jego sensacyjna opowieść odsłania szczegóły mało znanej działalności wywiadu – ścigania poszukiwanych w krajach za żelazną kurtyną niemieckich zbrodniarzy. Przez trzydzieści pięć lat kapitan Mason – człowiek, który dostał „pozwolenie na zabijanie” – wiódł życie, o jakim James Bond mógł jedynie marzyć.","6,8",,https://lubimyczytac.pl/ksiazka/112145/pozwolenie-na-zabijanie
Grant Takes Command,Bruce Catton,2000-01-01,556,angielski,Castle Books,"biografia, autobiografia, pamiętnik",papier,1,1,"Druga część biografii generała Ulyssesa S. Granta, opisująca lata 1863-1865, gdy został on głównodowodzącym wojsk Unii na wschodzie USA i pokonał po krwawych zmaganiach w Wilderness, pod Spotsylvanią, nad North Anna River oraz pod Cold Harbor armię słynnego generała Lee.","7,0",0785812636,https://lubimyczytac.pl/ksiazka/4803867/grant-takes-command
"Inklingowie: C.S.Lewis, J.R.R.Tolkien, Charles Williams i ich przyjaciele",Humphrey Carpenter,2000-01-01,360,polski,Zysk i S-ka,"biografia, autobiografia, pamiętnik",papier,74,7,"J.R.R. Tolkien, C.S. Lewis i ich przyjaciele byli dobrze znanymi postaciami w Oksfordzie podczas i po drugiej wojnie światowej. Co tydzień pili razem piwo w pubie, a w pokoju Lewisa w Magdalen College głośno czytali napisane przez siebie książki. Żartobliwie nazywali się ""Inklingami"". Właśnie podczas tych spotkań Tolkien po raz pierwszy przedstawił słuchaczom Władcę Pierścieni, a Lewis Listy starego diabła do młodego. Innym wybitnym członkiem grupy był Charles Williams, poeta i twórca mistycznych horrorów. Humphrey Carpenter wykorzystał w swojej książce nie publikowane listy i dzienniki, aby przybliżyć czytelnikom te wybitne postacie z panteonu literatury.","7,4",83-7150-663-5,https://lubimyczytac.pl/ksiazka/50095/inklingowie-c-s-lewis-j-r-r-tolkien-charles-williams-i-ich-przyjaciele
Gentelmen prefer blondes,Anita Loos,2000-01-01,42,angielski,Longman,"biografia, autobiografia, pamiętnik",papier,8,0,"Lorelei Lee is a woman who usually gets what she wants and she wants to marry an interesting gentleman. By interesting she means extremely rich, very generous and preferably famous. She is not ashamed of the fact that she prefers diamonds to kisses. Diamonds, after all, last forever ... unlike love. In Gentlemen Prefer Blondes, written in diary form, she outlines her adventures in her quest for this gentleman. Lorelei Lee was born into a not-so-rich family in Little Rock, Arkansas. As a teenager she shot and killed her predatory boss. She was acquitted of murder and moved to New York to escape her past. It is at this point that she begins her diary. Here she meets her equally manipulative and gold-digging friend, Dorothy. She also meets Mr Eisman, who is boring because he doesn't like dancing; she tolerates him however because he is very rich and willing to finance her expensive whims. He is her sugar daddy.Mr Eisman pays for Lorelei and Dorothy to travel to Europe to be educated. They travel on board the cruise ship, the Majestic, where she encounters a ghost from her past, a lawyer who represents the family of the man she killed in Little Rock. At first, she is afraid of what he might do, but the problem is solved when he falls in love with her. She then casts him aside and continues her journey with Dorothy to London and Paris.Using good looks and all the charm they can muster, the pair inveigle their way into the company of any rich gentlemen that cross their path. Among the famous people she meets are The Prince of Wales and Sigmund Freud. It is on the train journey to Paris that Lorelei meets Henry Spoffard who is immediately besotted with her. Henry is boring, but he is also very rich; unfortunately he is not especially generous. Nevertheless she agrees to marry him. When they arrive back home, he takes Lorelei to meet his family who are equally rich and boring. On the return train journey to New York, she meets a stimulating young man called Gilbertson Montrose who makes movies and he wants Lorelei to star in his movies. Now she is faced with a dilemma: Henry Spoffard or Gilbertson Montrose? It is a difficult decision, but Lorelei always she gets what she wants. She marries the rich Henry Spoffard and spends her days with Gilbertson Montrose working on his movies","4,6",0-582-43048-8,https://lubimyczytac.pl/ksiazka/134059/gentelmen-prefer-blondes
Dziennik duszy,Jan XXIII,2000-01-01,496,polski,Znak,"biografia, autobiografia, pamiętnik",papier,35,5,"Książka wydana na uroczystość beatyfikacji papieża Jana XXIII, która odbyła się w Rzymie 3 września 2000 roku.Pontyfikat Jana XXIII, czyli Angelo Giuseppe Roncallego (1881-1963),chociaż trwał zaledwie pięć lat, odmienił oblicze Kościoła. Trudno przecenić znaczenie zwołanego przezeń II Soboru Watykańskiego, ogłoszenia encyklik społecznych (Mater et Magistra i Pacem in terris),a także zmiany sposobu traktowania przez Kościół wyznawców innych religii chrześcijańskich, Żydów i niewierzących. Sam Papież zjednywał sobie ludzi skromnością, poczuciem humoru, dystansem do samego siebie.Dziennik duszy to opublikowany po jego śmierci tom notatek i rozmyślań, zapisywanych od roku 1895, gdy Autor miał zaledwie 14 lat, a przerwanych w roku 1962 - na kilka miesięcy przed śmiercią. Zdaniem ks. Lorisa Capovilli, sekretarza Jana XXIII: „Nie znamy innego zbioru tego typu, który - poprzez nieprzerwany ciąg zapisków duchowych - odzwierciedlałby całokształt życia kapłana, a potem papieża, i ukazywał to, co on sam zazdrośnie ukrywał, mianowicie jego modlitwę i jego duszę”.","7,9",83-7006-958-4,https://lubimyczytac.pl/ksiazka/141843/dziennik-duszy
Wspomnienia o Annie Jantar,Mariola Pryzwan,2000-01-01,214,polski,Domena,"biografia, autobiografia, pamiętnik",papier,24,4,"Ta książka nie stawia sobie za cel powiedzenia wszystkiego o Jej życiu i karierze artystycznej. Jest jedynie próbą ocalenia pamięci o Ani, przybliżenia Jej postaci, próbą zatrzymania czasu.","6,1",83-909174-4-0,https://lubimyczytac.pl/ksiazka/64748/wspomnienia-o-annie-jantar
The selected journals of L. M. Montgomery,Lucy Maud Montgomery,2000-01-01,424,angielski,Oxford University Press,"biografia, autobiografia, pamiętnik",papier,2,0,"Lucy Maud Montgomery (1874- 1942)-whose Anne of Green Gables and many other novels are loved by readers around the world-kept extensive journals for most of her life, beginning them in 1889 when she was fourteen and continuing them until shortly before her death. Spontaneous and frank, they are unusual for their narrative interest: Montgomery's gifts as a storyteller are as much evidence here as in her novels.This first volume of the immensely successful Selected Journals of L.M. Montgomery launched in 1985, takes Montgomery to 1910, the year before her marriage, when she left Prince Edward Island. The autobiographical content will fascinate every devoted reader of the Anne books. But the Montgomery journals are especially interesting because they provide a unique social history and the privilege of viewing closely the life of a remarkable woman. Comprising perhaps the most vivid and detailed memoir in Canadian letters, the journals join Anne of Green Gables in ensuring Montgomery's lasting place in Canadian literature. This volume is a rich and engrossing prelude to the whole.","9,0",9780195415124,https://lubimyczytac.pl/ksiazka/4985505/the-selected-journals-of-l-m-montgomery
Wojciech Lutowski - Wynalazca i architekt. Jego życie i praca w Wenezueli XIX wieku,Leszek Zawisza,2000-01-01,226,polski,Universitas,"biografia, autobiografia, pamiętnik",papier,2,0,"Autor - historyk i architekt - przebywający przez długie lata w Wenezueli, odkrywa nieznaną nam dotąd stronę historii Wielkiej Emigracji i umieszcza jednocześnie inżyniera Lutowskiego w bardzo specyficznym środowisku. Książka jest nie tylko interesującą lekturą dla polskiego czytelnika, ale również wiele wnosi do historii techniki światowej, w której znaczącą rolę odegrał polski emigrant.","9,0",8370527140,https://lubimyczytac.pl/ksiazka/144805/wojciech-lutowski---wynalazca-i-architekt-jego-zycie-i-praca-w-wenezueli-xix-wieku
Jak powstał Harry Potter. Wywiad z J.K. Rowling,Lindsey Fraser,2000-01-15,64,polski,Media Rodzina,"biografia, autobiografia, pamiętnik",papier,162,11,"Lindsey Fraser, wybitna znawczyni i entuzjastka literatury dziecięcej, pyta Joanne K. Rowling o jej błyskotliwą karierę, a także o przeżycia z dzieciństwa, wspomnienia ze szkoły i studiów, o ukochane zwierzęta i ulubione książki...","5,8",9788372780133,https://lubimyczytac.pl/ksiazka/65832/jak-powstal-harry-potter-wywiad-z-j-k-rowling
Trump: The America We Deserve,Donald J. Trump,2000-01-15,288,angielski,Renaissance E Books,"biografia, autobiografia, pamiętnik",papier,1,0,"The essential, bestselling book that first defined President Donald Trump's political ideas.The America We Deserve is the essential book for anyone who wants to understand the core of Donald Trump's political thinking. In this book, written as he first considered running for president in 2000, Trump offers no-nonsense, populist, provocative, and dramatic solutions to issues that continue to resonate with voters today.In this book, Trump lays out a vision for America that is strong, optimistic, and founded on core Republican principles of self-reliance, limited governance, economic growth, and equitable taxation. Striking for its similarities to President Trump's current initiatives--but also fascinating in its differences--The America We Deserve reveals a man who is fully engaged with the nation and cares deeply about its future. Readers and voters will discover Trump's ideas on:*Foreign policy and relations with China, Russia, North Korea, and Israel*How to fix our broken and underperfoming education system*Reducing regulations on business to help create jobs and economic growth*A dramatic one-time tax on the super-wealthy to close the national debt and fuel tax cuts for the middle class*Immigration, crime, terrorism, and moreThe America We Deserve is essential reading for Trump-watchers, voters, Republicans, Democrats, and anyone interested in how Trump the businessman became Trump the president.","6,0",9781580631310,https://lubimyczytac.pl/ksiazka/4822725/trump-the-america-we-deserve
Tajemnica Kamedułów,Adam Bujak,2000-02-01,160,polski,Biały Kruk,"biografia, autobiografia, pamiętnik",papier,3,0,"W dziejach owianego legendą Zakonu Ojców Kamedułów na Bielanach w Krakowie żaden obcy nie był dopuszczany poza mury eremu. Adam Bujak, dusza zakonnikom pokrewna, artysta bliski i Ojcu Świętemu, i prostemu bratu, wzbudził u pustelników na Srebrnej Górze takie zaufanie, że pozwolili mu ze sobą zamieszkać, by mógł przekazać prawdę o ich życiu, ich niezwykłej drodze do Boga. Zaufali mu, bo byli pewni, że właśnie ten artysta nie dostrzeże w nich tajemnych dziwaków, lecz ludzi, którzy znaleźli sposób na zjednoczenie się z Najwyższym. Czym jest zatem tajemnica kamedułów? Ta książka daje na to odpowiedź, niby prostą, a przecież tak niezwykłą...","7,7",8391216527,https://lubimyczytac.pl/ksiazka/229391/tajemnica-kamedulow
Najlepszy w klasie. Biografia Billa Clintona,David Maraniss,2000-02-08,600,polski,Prószyński i S-ka,"biografia, autobiografia, pamiętnik",papier,5,0,"Kim jest Bill Clinton i dlaczego właśnie jemu jako pierwszemu spośród najzdolniejszych reprezentantów pokolenia udało się dotrzeć do Białego Domu? Na podstawie setek listów, dokumentów i wywiadów David Maraniss śledzi ewolucję osobowości czterdziestego drugiego prezydenta Ameryki - od młodości w Arkansas aż po rok 1991, kiedy Clinton ogłosił zamiar ubiegania się o najwyższy urząd w państwie. W tej obszernej i wyważonej biografii Maraniss ukazuje skomplikowaną naturę człowieka, jego ułomności i niezwykłe uzdolnienia. Najlepszy w klasie to znakomita książka o Billu Clintonie.[opis wydawcy]","6,8",83-7255-488-9,https://lubimyczytac.pl/ksiazka/58875/najlepszy-w-klasie-biografia-billa-clintona
Clara Bow: Runnin' Wild,David Stenn,2000-03-14,369,angielski,Cooper Square Press,"biografia, autobiografia, pamiętnik",papier,0,0,"Hollywood's first sex symbol, the 'It' girl, Clara Bow was born in the slums of Brooklyn in a family plagued with alcoholism and insanity. She catapulted to fame after winning Motion Picture magazine's 1921 ""Fame and Fortune"" contest. The greatest box-office draw of her day she once received 45,000 fan letters in a single month, Clara Bow's on screen vitality and allure that beguiled thousands, however, would be her undoing off-camera. David Stenn captures her legendary rise to stardom and fall from grace, her success marred by studio exploitation and sexual scandals.","0,0",9780815410256,https://lubimyczytac.pl/ksiazka/5118125/clara-bow-runnin-wild
L'événement,Annie Ernaux,2000-03-14,,polski,Gallimard,"biografia, autobiografia, pamiętnik",papier,17,1,"«Depuis des années, je tourne autour de cet événement de ma vie. Lire dans un roman le récit d'un avortement me plonge dans un saisissement sans images ni pensées, comme si les mots se changeaient instantanément en sensation violente. De la même façon entendre par hasard La javanaise, J'ai la mémoire qui flanche, n'importe quelle chanson qui m'a accompagnée durant cette période, me bouleverse.»Annie Ernaux.","7,8",9782070758012,https://lubimyczytac.pl/ksiazka/4962737/l-evenement
Raymond Chandler. Biografia,Tom Hiney,2000-03-20,376,polski,Prószyński i S-ka,"biografia, autobiografia, pamiętnik",papier,11,6,"Miał irlandzkich rodziców, urodził się w Nebrasce, wychowywał w Chicago, wykształcenie zdobył w Dulwich College, ale życia nauczyły go dopiero ""złe"" ulice Los Angeles. RAYMOND CHANDLER - twórca ""czarnego kryminału"", przez niektórych uważany za najlepszego amerykańskiego pisarza dwudziestego wieku. Z książki Toma Hineya - szczegółowej, doskonale udokumentowanej, a jednocześnie napisanej z pasją i zaangażowaniem - wyłania się portret niezwykłego człowieka o skomplikowanej, niejednoznacznej osobowości, który doskonale nadawałby się na bohatera którejś ze swoich powieści.","7,6",8372554501,https://lubimyczytac.pl/ksiazka/58893/raymond-chandler-biografia
Vaity Will Get You Somewhere,Joseph Cotten,2000-03-24,280,angielski,iUniverse,"biografia, autobiografia, pamiętnik",papier,1,0,"Joseph Cottens story begins in Tidewater, Virginia, moves on to an episode as a Miami potato salad tycoon and then brings us to his first big break as an actor, in the New York theatre. Cotten describes how he met the flamboyant Orson Welles- at a radio audition at which Welles set a wastepaper basket on fire- and their involvement with the Mercury theatre. This led to Cottens first film role, as Orsons co-star in Citizen Kane, quickly followed by parts in The Magnificent Ambersons and The Third Man. Orson- perhaps the only man to use Churchill as a stooge while trying to set up a film deal- was a lifelong friend of Cottens, and this autobiography was one of the last works he read before his untimely death in 1985. Cotten takes us behind the scenes of his stage plays and films, recalling amusing and intimate stories of his adventures with Ingrid Bergman, Marilyn Monroe, Katharine Hepburn, David Niven, David O. Selznick, Alfred Hitchcock and many others. Sensitive to his own motivations, frank about his marriages and warmly revealing about himself and his friends, Cotten has written much more than the usual film star biography. His skills as an actor have made him a master of character and dramatic momentum, and he brings the same talents to his writing. Vanity Will get You Somewhere is a generous, loving and humorous portrait of a man without a shred of vanity in his nature- and of his friends and colleagues in the larger-than-life world of show business.","9,0",9780595091331,https://lubimyczytac.pl/ksiazka/5126078/vaity-will-get-you-somewhere
Nikita Khrushchev,Siergiej Chruszczow,2000-04-10,400,angielski,Yale University Press,"biografia, autobiografia, pamiętnik",papier,0,0,"What was known about Soviet premier Nikita Khrushchev during his career was strictly limited by the secretive Soviet government. Little more information was available after he was ousted and became a “non-person” in the ussr in 1964. This pathbreaking book draws for the first time on a wealth of newly released materials—documents from secret former Soviet archives, memoirs of long-silent witnesses, the full memoirs of the premier himself—to assemble the best-informed analysis of the Khrushchev years ever completed. The contributors to this volume include Russian, Ukrainian, American, and British scholars; a former key foreign policy aide to Khrushchev; the executive secretary of a Russian commission investigating Soviet-era repressions and rehabilitations; and Khrushchev’s own son Sergei.The book presents and interprets new information on Khrushchev’s struggle for power, public attitudes toward him, his role in agricultural reform and cultural politics, and such foreign policy issues as East-West relations, nuclear strategy, and relations with Germany. It also chronicles Khrushchev’s years in Ukraine where he grew up and began his political career, serving as Communist party boss from 1938 to 1949, and his role in mass repressions of the 1930s and in destalinization in the 1950s and 1960s. Two concluding chapters compare the regimes of Khrushchev and Gorbachev as they struggled to reform Communism, to humanize and modernize the Soviet system, and to answer the haunting question that persists today: Is Russia itself reformable?","0,0",9780300076356,https://lubimyczytac.pl/ksiazka/5135738/nikita-khrushchev
Augustyn,Henry Chadwick,2000-04-19,192,polski,Prószyński i S-ka,"biografia, autobiografia, pamiętnik",papier,9,3,"Kolejną postacią w serii Dawni Mistrzowie jest św. Augustyn, wielki myśliciel chrześcijaństwa. Jego sylwetka, drogi duchowego rozwoju oraz najważniejsze koncepcje filozoficzne zostały przedstawione zwięźle, przystępnie i ze znawstwem. Myśl Augustyna pozostaje ciągle żywa, inspiruje i fascynuje, a do jego słynnych Wyznań nie przestajemy powracać...","6,3",8372550808,https://lubimyczytac.pl/ksiazka/101764/augustyn
Moje młode lata,Daphne du Maurier,2000-04-28,168,polski,Prószyński i S-ka,"biografia, autobiografia, pamiętnik",papier,14,3,"""Pisząc tę autobiografię, byłam dla siebie pobłażliwa. U progu siedemdziesiątych urodzin często nie pamiętam, co wydarzyło się tydzień temu, natomiast zachowałam żywą pamięć lat dziecinnych i kłopotliwego wieku dojrzewania. W odtworzeniu tego okresu bardzo pomógł mi dziennik, który prowadziłam od roku 1920, czyli od dwunastego roku życia, aż do wyjścia za mąż w roku 1932. Był on przeznaczony wyłącznie dla mnie i nawet nie przeszło mi przez myśl, że pół wieku później uznam owe zapiski za dostatecznie interesujące, by zapoznać z nimi nie tylko najbliższą rodzinę i przyjaciół, ale także tych, którzy pytają mnie od czasu do czasu, dlaczego postanowiłam zostać pisarką"". Od Autorki","6,2",8372555818,https://lubimyczytac.pl/ksiazka/57509/moje-mlode-lata
Moje życie,Marcel Reich-Ranicki,2000-05-01,352,polski,Muza,"biografia, autobiografia, pamiętnik",papier,13,4,"Ta książka to coś więcej niż wspomnienia człowieka, który wiele przeżył i doświadczył. W tle bowiem bogatych przeżyć i doświadczeń, opisanych piórem biegłego pisarza, czuje się oddech wielkiej literatury. Opowiadając o swoim życiu, Ranicki mówi w istocie o poszukiwaniu tożsamości.","7,2",83-7200-607-5,https://lubimyczytac.pl/ksiazka/100059/moje-zycie
Ted Bundy : Conversations with a Killer,Hugh Aynesworth,2000-05-01,,polski,Authorlink,"biografia, autobiografia, pamiętnik",papier,3,1,"Drawn from more than 150 hours of exclusive tape-recorded interviews with Bundy, this collection provides shocking insights into the killer's 11th-hour confessions before his death in a Florida electric chair. A unique, horrifying self portrait of one of the most savage sex killers in history.","5,0",1928704174,https://lubimyczytac.pl/ksiazka/4821670/ted-bundy-conversations-with-a-killer
Silva rerum. Wspomnienia i zapiski dzienne z lat 1830-1881. Kronika domowa,Kajetan Kraszewski,2000-05-01,661,polski,,"biografia, autobiografia, pamiętnik",papier,4,1,"Pamiętnik Kajetana, najmłodszego brata wielkiego powieściopisarza Józefa Ignacego. Pod względem genealogicznym traktat jest niejednolity, łączy zapis pamiętnikarski z zapiskami dziennymi, bieżącymi. Dowcip i niewątpliwy talent gawędziarski, zdolność obserwacji i opisu szczegółów przybliżają i utrwalają w pamięci minioną przeszłość. Interesujący dokument zmierzchu epoki ziemiaństwa i nieukrywanej niechęci ku obserwowanym z ironią czasom ""cywilizacji i postępu"" oraz ideologii pozytywizmu. Wartość dokumentalną pamiętnika podnosi fakt, iż dotyczy on terenów na ogół bardzo słabo reprezentowanych w polskim pamiętnikarstwie.","7,5",8385576266,https://lubimyczytac.pl/ksiazka/245607/silva-rerum-wspomnienia-i-zapiski-dzienne-z-lat-1830-1881-kronika-domowa
Ronaldo!,Wensley Clarkson,2000-05-01,260,polski,InRock,"biografia, autobiografia, pamiętnik",papier,24,5,Ta książka nie posiada jeszcze opisu.,"6,8",8386365269,https://lubimyczytac.pl/ksiazka/221112/ronaldo
"Britney Spears. Urodzona, by cieszyć",Andrew Grant,2000-06-01,160,polski,Videograf II,"biografia, autobiografia, pamiętnik",papier,24,4,"Sylwetka jednej z najbardziej popularnych piosenkarek muzyki pop, której oszałamiające sukcesy na listach przebojów i charakterystyczny sceniczny image przyniosły dziesiątki nagród i tytuł ""księżniczki pop"". Książka przedstawia kolejne etapy rozwoju kariery Britney Spears - od ""debiutu"" w wieku czterech lat po wielkie tegoroczne tournee w charakterze megagwiazdy. Sylwetka skromnej dziewczyny z amerykańskiej prowincji została ukazana na tle mechanizmów show-biznesu, które sprawiły, że już pierwszy singiel pozwolił jej osiągnąć szczyty popularności nie tylko w USA, ale i na całym świecie.","5,9",83-7183-154-4,https://lubimyczytac.pl/ksiazka/97578/britney-spears-urodzona-by-cieszyc
"Strange Fascination, David Bowie: The Definitive Story",David Buckley,2000-06-08,641,angielski,Virgin Books,"biografia, autobiografia, pamiętnik",papier,1,1,"David Bowie is now into his fifth decade of making music. Thirty years on from his first hit single, 'Space Oddity'. he remains the most influential rock star from the post-Woodstock generation - yet unlike Hendrix, the Beatles or even Prince, his life has never been the subject of a major biography. Strange Fascination chronicles Bowie's career against the colourful backdrop of post-Beatles pop culture; of glam-era gender-bending, implausible substance abuse and sartorial silliness; 80s corporate sclock; 90s 'curator culture' and laddish Britpop. It's a story of amazing creativity, of huge, showboating theatricality and of an almost pathological quest to remain relevant and at pop's cutting edge.This revised and updated edition of Strange Fascination is an absorbing and fascinating history of Bowie and his times, through exclusive and revelatory interviews with his closest collaborators who have spoken in detail about the tours, the making of the albums, the arguments and split-ups, the music and, most importantly, the man himself. With an unrivalled degree of access to the main players and exclusive photographic material, Strange Fascination is the most complete account of David Bowie and his impact on pop culture ever written.","6,0",075350457X,https://lubimyczytac.pl/ksiazka/4906286/strange-fascination-david-bowie-the-definitive-story
